nodeID,xcoord,ycoord,floorNum,building,status
1065,1845,1280,1,Tower,OPEN
1805,1700,1442,1,Tower,OPEN
970,1636,930,1,Tower,OPEN
1015,1636,931,1,Tower,OPEN
940,1636,930,1,Tower,OPEN
935,1636,930,1,Tower,OPEN
105,2130,849,L2,Tower,OPEN
110,2360,849,L1,45 Francis,OPEN
115,2130,904,L1,45 Francis,OPEN
120,2130,844,L1,45 Francis,OPEN
125,1845,924,L1,Tower,OPEN
130,2300,849,L1,45 Francis,OPEN
135,1965,1284,L1,Tower,OPEN
140,2300,854,L2,45 Francis,OPEN
145,1750,1090,L1,Tower,OPEN
150,2215,1280,L2,45 Francis,OPEN
155,2290,1284,L1,45 Francis,OPEN
160,2320,1284,L1,45 Francis,OPEN
165,2770,1284,L1,45 Francis,OPEN
170,1732,1019,L1,Tower,OPEN
175,2300,884,L2,45 Francis,OPEN
180,2065,1284,L1,Tower,OPEN
185,1930,1280,L2,45 Francis,OPEN
190,2300,879,L1,45 Francis,OPEN
195,2770,1160,L1,45 Francis,OPEN
200,2185,904,L1,45 Francis,OPEN
205,2490,1043,L1,45 Francis,OPEN
210,2015,1280,L2,45 Francis,OPEN
215,4550,375,2,15 Francis,OPEN
220,4155,650,2,15 Francis,OPEN
225,3955,885,2,15 Francis,OPEN
230,3475,760,2,15 Francis,OPEN
235,4125,625,2,15 Francis,OPEN
240,3895,695,2,15 Francis,OPEN
245,3635,830,2,15 Francis,OPEN
250,3525,850,2,15 Francis,OPEN
255,4210,630,2,15 Francis,OPEN
260,3490,825,2,15 Francis,OPEN
265,4330,700,2,15 Francis,OPEN
270,4240,730,2,15 Francis,OPEN
275,3900,640,2,15 Francis,OPEN
280,3425,870,2,15 Francis,OPEN
285,3830,775,2,15 Francis,OPEN
290,4595,550,2,15 Francis,OPEN
295,4270,480,2,15 Francis,OPEN
300,4295,750,2,15 Francis,OPEN
305,4650,675,2,15 Francis,OPEN
310,4330,580,2,15 Francis,OPEN
315,4250,440,2,15 Francis,OPEN
320,4175,620,2,15 Francis,OPEN
325,4065,630,2,15 Francis,OPEN
330,3950,865,2,15 Francis,OPEN
335,3855,565,2,15 Francis,OPEN
340,3535,645,2,15 Francis,OPEN
345,4770,1140,2,15 Francis,OPEN
350,4750,1080,2,15 Francis,OPEN
355,4725,995,2,15 Francis,OPEN
360,4785,975,2,15 Francis,OPEN
365,4705,925,2,15 Francis,OPEN
370,4690,870,2,15 Francis,OPEN
375,4675,820,2,15 Francis,OPEN
380,4660,770,2,15 Francis,OPEN
385,4635,680,2,15 Francis,OPEN
390,4625,650,2,15 Francis,OPEN
395,4605,655,2,15 Francis,OPEN
400,4570,555,2,15 Francis,OPEN
405,4545,460,2,15 Francis,OPEN
410,4570,455,2,15 Francis,OPEN
415,4480,580,2,15 Francis,OPEN
420,4390,605,2,15 Francis,OPEN
425,4385,585,2,15 Francis,OPEN
430,4340,625,2,15 Francis,OPEN
435,4310,585,2,15 Francis,OPEN
440,4295,530,2,15 Francis,OPEN
445,4280,475,2,15 Francis,OPEN
450,4270,440,2,15 Francis,OPEN
455,4280,435,2,15 Francis,OPEN
460,4295,475,2,15 Francis,OPEN
465,4285,715,2,15 Francis,OPEN
470,4270,650,2,15 Francis,OPEN
475,4220,660,2,15 Francis,OPEN
480,4185,665,2,15 Francis,OPEN
485,4140,680,2,15 Francis,OPEN
490,4130,650,2,15 Francis,OPEN
495,4020,715,2,15 Francis,OPEN
500,4000,645,2,15 Francis,OPEN
505,3925,740,2,15 Francis,OPEN
510,3945,790,2,15 Francis,OPEN
515,3955,830,2,15 Francis,OPEN
520,3965,860,2,15 Francis,OPEN
525,3970,880,2,15 Francis,OPEN
530,3980,910,2,15 Francis,OPEN
535,3910,685,2,15 Francis,OPEN
540,3875,560,2,15 Francis,OPEN
545,3870,540,2,15 Francis,OPEN
550,3865,750,2,15 Francis,OPEN
555,3860,725,2,15 Francis,OPEN
560,3775,745,2,15 Francis,OPEN
565,3825,760,2,15 Francis,OPEN
570,3745,780,2,15 Francis,OPEN
575,3655,805,2,15 Francis,OPEN
580,3645,775,2,15 Francis,OPEN
585,3630,810,2,15 Francis,OPEN
590,3575,825,2,15 Francis,OPEN
595,3555,730,2,15 Francis,OPEN
600,3525,840,2,15 Francis,OPEN
605,3490,845,2,15 Francis,OPEN
610,3450,850,2,15 Francis,OPEN
615,3440,800,2,15 Francis,OPEN
620,3480,790,2,15 Francis,OPEN
625,3510,790,2,15 Francis,OPEN
630,3420,850,2,15 Francis,OPEN
635,4300,630,2,45 Francis,OPEN
655,2275,830,1,45 Francis,OPEN
660,2275,785,1,45 Francis,OPEN
675,2385,860,1,45 Francis,OPEN
680,2335,860,1,45 Francis,OPEN
690,2460,850,1,45 Francis,OPEN
700,2585,890,1,45 Francis,OPEN
710,2610,954,1,45 Francis,OPEN
715,2660,954,1,45 Francis,OPEN
720,2660,979,1,45 Francis,OPEN
735,2910,890,1,45 Francis,OPEN
745,2960,900,1,45 Francis,OPEN
750,2950,745,1,45 Francis,OPEN
755,2950,730,1,45 Francis,OPEN
760,2950,705,1,45 Francis,OPEN
765,3050,730,1,45 Francis,OPEN
770,3100,890,1,45 Francis,OPEN
775,3200,880,1,45 Francis,OPEN
780,3230,880,1,45 Francis,OPEN
785,3270,875,1,45 Francis,OPEN
790,3325,870,1,45 Francis,OPEN
795,2770,980,1,45 Francis,OPEN
800,2925,980,1,45 Francis,OPEN
805,2985,980,1,45 Francis,OPEN
810,3085,980,1,45 Francis,OPEN
815,3085,1000,1,45 Francis,OPEN
820,2925,1050,1,45 Francis,OPEN
825,2770,1070,1,45 Francis,OPEN
830,2790,1070,1,45 Francis,OPEN
835,2790,1155,1,45 Francis,OPEN
840,2790,1190,1,45 Francis,OPEN
845,2790,1290,1,45 Francis,OPEN
850,2790,1380,1,45 Francis,OPEN
855,2790,1460,1,45 Francis,OPEN
860,2670,1380,1,45 Francis,OPEN
865,2605,1380,1,45 Francis,OPEN
870,2605,1340,1,45 Francis,OPEN
875,2835,1460,1,45 Francis,OPEN
880,2760,1460,1,45 Francis,OPEN
885,2760,1405,1,45 Francis,OPEN
910,2017,799,1,Tower,OPEN
920,1973,844,1,Tower,OPEN
930,1950,871,1,Tower,OPEN
950,1627,825,1,Tower,OPEN
960,1627,802,1,Tower,OPEN
980,1617,825,1,Tower,OPEN
985,1721,970,1,Tower,OPEN
990,1627,1029,1,Tower,OPEN
995,1605,1029,1,Tower,OPEN
1000,1627,1060,1,Tower,OPEN
1005,1758,1060,1,Tower,OPEN
1010,1721,956,1,Tower,OPEN
1020,1758,956,1,Tower,OPEN
1050,1794,1146,1,Tower,OPEN
1060,1845,1250,1,Tower,OPEN
1070,1965,1280,1,Tower,OPEN
1075,1965,1239,1,Tower,OPEN
1080,1947,1239,1,Tower,OPEN
1090,2066,1239,1,Tower,OPEN
1095,2128,1300,1,Tower,OPEN
1105,1580,2538,2,BTM,OPEN
1110,1648,2968,3,BTM,OPEN
1115,1401,2628,1,BTM,OPEN
1120,1395,2674,2,BTM,OPEN
1125,1720,2847,1,BTM,OPEN
1130,986,2852,1,BTM,OPEN
1135,1534,2777,1,BTM,OPEN
1140,1532,2777,2,BTM,OPEN
1145,1539,2773,3,BTM,OPEN
1150,1630,2742,L2,BTM,OPEN
1155,1696,2788,L2,BTM,OPEN
1160,1638,2553,1,BTM,OPEN
1165,1591,2560,2,BTM,OPEN
1170,1534,2732,3,BTM,OPEN
1175,1627,2782,L2,BTM,OPEN
1180,1608,2596,1,BTM,OPEN
1185,1590,2604,2,BTM,OPEN
1190,1600,2732,3,BTM,OPEN
1195,1698,2776,L2,BTM,OPEN
1200,1608,2737,1,BTM,OPEN
1205,1590,2745,2,BTM,OPEN
1210,1650,2732,3,BTM,OPEN
1215,1701,2734,L2,BTM,OPEN
1220,1420,2737,1,BTM,OPEN
1225,1528,2745,2,BTM,OPEN
1230,1650,2766,3,BTM,OPEN
1235,1698,2687,L2,BTM,OPEN
1240,1420,2865,1,BTM,OPEN
1245,1398,2745,2,BTM,OPEN
1250,1650,2855,3,BTM,OPEN
1255,1678,2865,1,BTM,OPEN
975,1636,930,1,Tower,OPEN
925,1950,909,1,Tower,OPEN
915,1973,909,1,Tower,OPEN
905,2017,909,1,Tower,OPEN
