macadd,devicename,date,locationname,direction
F4:D4:88:70:8D:80,asdfghj,2023-04-25,WONGS OFFICE,HERE
F4:D4:88:70:8D:80,asdfghj,2023-04-25,CARDIOLOGY,SOUTH
F4:D4:88:70:8D:80,asdfghj,2023-04-14,WONGS OFFICE,NORTH
F4:D4:88:70:8D:80,asdfghj,2023-04-06,WONGS OFFICE,HERE
F4:D4:88:70:8D:80,asdfghj,2023-04-07,WONGS OFFICE,WEST
F4:D4:88:70:8D:98,Brandon's MBP,2023-04-19,Information,EAST
F4:D4:88:70:8D:98,Brandon's MBP,2023-04-19,Testing,EAST
F4:D4:88:70:8D:98,Brandon's MBP,2023-04-19,hi,EAST
F4:D4:88:70:8D:98,Brandon's MBP,2023-04-19,dfhgh,EAST
F4:D4:88:70:8D:98,Brandon's MBP,2023-04-26,adfdf,WEST
F4:D4:88:70:8D:98,Brandon's MBP,2023-03-31,adfdf,WEST
