requestid,requester,roomname,status,additionalnotes,furnituretype,eta,assignedto
28,Angela,Cubicle 7,PENDING,None,Couch,null,jim
29,Angela,Cubicle 7,PENDING,None,Couch,null,jim
30,Angela,Cubicle 7,PENDING,None,Couch,null,jim
31,Angela,Cubicle 7,PENDING,None,Couch,null,jim
32,Angela,Cubicle 7,PENDING,None,Couch,null,jim
25,aaron,Cubicle 7,PENDING,None,Stool,null,jim
26,brandon,Cubicle 7,PENDING,None,Stool,null,jim
27,aaron,Cubicle 7,IN_PROGRESS,None,Stool,null,jim
20,jim,Restroom 2 Level 2,CANCELLED,a,Stool,2023-04-25,mary
22,tim,Waiting Room 1 Floor 1,PENDING,,Stool,2023-04-25,jim
23,eddie,Waiting Room 1 Floor 1,IN_PROGRESS,,Stool,2023-04-25,jane
24,randy,Exit 2 Floor 1,PENDING,,Stool,null,randy
